Date Changed,User,Event
"Oct 30, 2023, 8:54 am Central Daylight Time","Strata Cloud Accountants","Applied Payment to Buc-ee's Ltd:Buc-ee's 39 Denton for $121.62"
"Oct 30, 2023, 8:52 am Central Daylight Time","Strata Cloud Accountants","Recorded expense for Chase for $244.39"
"Oct 30, 2023, 8:51 am Central Daylight Time","Strata Cloud Accountants","Recorded expense for BlueVine Capital Inc. for $831.67"
"Oct 30, 2023, 8:51 am Central Daylight Time","Strata Cloud Accountants","Matched Transfer for $1450.00"
"Oct 30, 2023, 8:51 am Central Daylight Time","Strata Cloud Accountants","Completed Transfer for $1450.00"
"Oct 30, 2023, 8:51 am Central Daylight Time","Strata Cloud Accountants","Matched Deposit of $971.40 to Texasfood.com "
"Oct 30, 2023, 8:50 am Central Daylight Time","Strata Cloud Accountants","Recorded expense for Shopify for $18.19"
"Oct 30, 2023, 8:50 am Central Daylight Time","Strata Cloud Accountants","Completed Deposit of $76.80 to Shopify "
"Oct 30, 2023, 8:50 am Central Daylight Time","Strata Cloud Accountants","Completed Deposit of $408.55 "
"Oct 30, 2023, 8:50 am Central Daylight Time","Strata Cloud Accountants","Completed Deposit of $28.00 "
"Oct 30, 2023, 8:49 am Central Daylight Time","Strata Cloud Accountants","Recorded expense for BlueVine Capital Inc. for $644.55"
"Oct 30, 2023, 8:49 am Central Daylight Time","Strata Cloud Accountants","Recorded expense for Shopify for $4.93"
"Oct 30, 2023, 8:49 am Central Daylight Time","Strata Cloud Accountants","Recorded expense for BlueVine Capital Inc. for $519.80"
"Oct 30, 2023, 8:30 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for Chase Bank-3 "
"Oct 30, 2023, 8:30 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for Chase Bank-3 "
"Oct 30, 2023, 8:30 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for Chase Bank-3 "
"Oct 30, 2023, 8:30 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for Chase Bank-3 "
"Oct 30, 2023, 8:29 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for American Express Corporate or Personal Credit Card (US) "
"Oct 30, 2023, 8:29 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for Intuit "
"Oct 30, 2023, 8:29 am Central Daylight Time","Online Banking Administration","Manually updated Online Banking accounts for Capital One - Credit Cards-1 "
